0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1	2	3	4	5	6	7	8	9	0	19	10	11	12	13	14	15	16	17	18
2	3	4	5	6	7	8	9	0	1	18	19	10	11	12	13	14	15	16	17
3	4	5	6	7	8	9	0	1	2	17	18	19	10	11	12	13	14	15	16
4	5	6	7	8	9	0	1	2	3	16	17	18	19	10	11	12	13	14	15
5	6	7	8	9	0	1	2	3	4	15	16	17	18	19	10	11	12	13	14
6	7	8	9	0	1	2	3	4	5	14	15	16	17	18	19	10	11	12	13
7	8	9	0	1	2	3	4	5	6	13	14	15	16	17	18	19	10	11	12
8	9	0	1	2	3	4	5	6	7	12	13	14	15	16	17	18	19	10	11
9	0	1	2	3	4	5	6	7	8	11	12	13	14	15	16	17	18	19	10
10	11	12	13	14	15	16	17	18	19	0	1	2	3	4	5	6	7	8	9
11	12	13	14	15	16	17	18	19	10	9	0	1	2	3	4	5	6	7	8
12	13	14	15	16	17	18	19	10	11	8	9	0	1	2	3	4	5	6	7
13	14	15	16	17	18	19	10	11	12	7	8	9	0	1	2	3	4	5	6
14	15	16	17	18	19	10	11	12	13	6	7	8	9	0	1	2	3	4	5
15	16	17	18	19	10	11	12	13	14	5	6	7	8	9	0	1	2	3	4
16	17	18	19	10	11	12	13	14	15	4	5	6	7	8	9	0	1	2	3
17	18	19	10	11	12	13	14	15	16	3	4	5	6	7	8	9	0	1	2
18	19	10	11	12	13	14	15	16	17	2	3	4	5	6	7	8	9	0	1
19	10	11	12	13	14	15	16	17	18	1	2	3	4	5	6	7	8	9	0